Names,Intervals
maj,0 4 7
maj 1 inv,0 3 8
maj 2 inv,0 5 9
min,0 3 7
min 1 inv,0 4 9
min 2 inv,0 5 8
sus4,0 5 7
sus2,0 2 7
b5,0 4 6
dim,0 3 6
aug,0 4 8
min6,0 3 7 9
maj6,0 4 7 9
7,0 4 7 10
7sus4,0 5 7 10
7sus2,0 2 7 10
min7,0 3 7 10
min9,0 3 7 10 14
min7(9),0 3 10 14
min11,0 3 7 10 14 17
min7(9-11),0 3 10 14 17
m11,3 10 14 17
m7(9-11),3 7 10 14 17
maj7,0 4 7 11
maj7(9),0 4 7 11 14
M7(9),0 4 11 14
maj7(#11),0 4 7 11 14 18
M7(#11),0 4 11 14 18
maj7(13),0 4 7 11 21
M7(13),0 4 11 21
maj7(9-13),0 4 7 11 14 21
M7(9-13),0 4 11 14 21
maj7#5,0 4 8 11
maj7#5(9),0 4 8 11 14
minMaj7,0 3 7 11
minMaj7(9),0 3 7 11 14
mM7(9),0 3 11 14
5,0 7
7dim5,0 4 6 10
min7dim5,0 3 6 10
Aug7,0 4 8 10
dim7,0 3 6 9
add9,0 4 7 14
minAdd9,0 3 7 14
maj6(9),0 4 7 9 14
6/9,0 4 9 14
M6(9),4 9 14
min6(9),0 3 7 9 14
m6/9,0 3 9 14
9,0 4 7 10 14
9sus2,0 2 7 10 14
9sus4,0 5 7 10 14
11,0 4 7 10 14 17
